country,year,biomass_relative_to,SST,Trawling_Hours
Cobia Gulf of Mexico,1993,1.138.015,28.46,27223.07
Cobia Southern Atlantic coast,1993,262.043,29.43,27835.16
Common gemfish New Zealand,1993,4.675.473,27.47,26628.68
Common gemfish Southeast Australia,1993,282.138,29.67,28044.18
Common sole Celtic Sea,1993,1,27.95,26965.19
Common sole Eastern English Channel,1993,1.028.518,27.98,26957.6
Common sole ICES 22-24-3a,1993,1.507.692,31.01,28885.31
Common sole ICES 7bc,1993,0,27.85,26862.38
Common sole ICES 7h-k,1993,0,30.36,28491.72
Common sole ICES 8ab,1993,1.537.736,29.4,27818.6
Common sole Irish Sea,1993,925.714,28.66,27373.6
Common sole North Sea,1993,1.717.143,29.06,27670.71
Common sole Western English Channel,1993,994.338,28.84,27473.4
Copper rockfish Pacific Coast,1993,853.328,30.93,28823.75
Cowcod Southern California,1993,0.45,30.69,28681.53
Crimson jobfish Okinawa Islands,1993,0,29.39,27854.14
Croaker West Africa Subgroup 2,1993,0,29.9,28208.37
Croaker West Africa Subgroup 3,1993,0,30.48,28532.3
Cuckoo ray ICES 3a-4,1993,0,27.89,26895.54
Cunene horse mackerel West Africa,1993,0,29.52,27902.43
Cusk Western Scotian Shelf,1993,732.842,28.9,27539.33
Cuttlefish West Africa,1993,0,28.15,27066.91
Dab Baltic Areas 22-32,1993,0,28.61,27384.62
Dab ICES 3a-4,1993,0,31.44,29160.81
Darkblotched rockfish Pacific Coast,1993,685.156,29.04,27617.22
Deep sea smelt Pacific Ocean,1993,0,29.89,28209.58
Deep sea smelt Sea of Japan,1993,0,29.52,27931.78
Deep water cape hake South Africa,1993,1.138.122,28.89,27531.02
Deep water rose shrimp West Africa,1993,0,28.75,27439.47
Deepwater cardinalfish Chile,1993,0,30.15,28370.42
Deepwater flathead Southeast Australia,1993,2.189.626,28.45,27216.68
Deepwater redfish NAFO Divisions 2J3K-3LNO,1993,0,28.95,27525.95
Deepwater redfish North-East Arctic,1993,0,28.15,27074.2
Deepwater redfish Units 1 and 2,1993,0,29.34,27766.69
Dover sole Gulf of Alaska,1993,2.422.564,30.69,28745.24
Dover sole Pacific Coast,1993,2.648.648,29.0,27577.9
Dredge oyster Foveax Strait,1993,0.75,30.11,28327.38
Dusky rockfish Gulf of Alaska,1993,916.261,28.93,27565.28
Dusky shark Gulf of Mexico and Atlantic,1993,0,28.98,27537.04
English sole Hecate Strait,1993,0,29.87,28194.57
English sole Pacific Coast,1993,128.103,31.27,29049.63
Eulachon Pacific Coast of Canada Central Coast Designatable Unit,1993,0,30.64,28659.67
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1993,0,28.4,27214.13
Eulachon Pacific Coast of Canada Nass / Skeena Designatable Unit,1993,0,30.31,28498.91
European flounder ICES 3a-4,1993,0,30.75,28720.18
European flounder Subdivisions 22-23,1993,0,29.07,27668.55
European flounder Subdivisions 24-25,1993,0,29.82,28135.28
European flounder Subdivisions 27 and 29-32,1993,0,29.37,27812.99
European plaice Celtic Sea,1993,538,29.63,27990.46
European plaice Eastern English Channel,1993,445.288,30.47,28574.15
European plaice ICES 7bc,1993,0,29.82,28156.19
European plaice ICES 7h-k,1993,0,29.38,27813.14
European plaice Irish Sea,1993,411.855,28.11,27057.86
European plaice North Sea,1993,495.927,28.73,27394.78
European plaice Western English Channel,1993,1.878.788,30.49,28622.13
European pollack ICES 3a-4,1993,0,28.47,27260.03
European pollack ICES 8-9a,1993,0,31.16,29016.39
European seabass ICES 4bc-7,1993,1.039.733,30.18,28399.56
European seabass ICES 8c-9a,1993,0,30.29,28408.87
False scad West Africa,1993,0,31.05,28931.1
Finetooth shark Atlantic,1993,1.291.028,29.72,28090.53
Flame snapper Okinawa Islands,1993,0,31.1,28992.34
Flathead flounder Sea of Japan,1993,0,29.03,27645.82
Flathead sole Bering Sea and Aleutian Islands,1993,2.336.156,31.39,29160.95
Flathead sole Gulf of Alaska,1993,2.442.805,29.48,27856.92
Fourspotted megrim ICES 8c-9a,1993,1.154.348,29.19,27749.89
Gag Gulf of Mexico,1993,213.731,28.53,27269.26
Gag Southern Atlantic coast,1993,993.612,29.58,27963.74
Giant Pacific octopus Gulf of Alaska,1993,0,28.79,27485.24
Giant stargazer NZ Area STA7,1993,1.59,29.52,27968.34
Golden redfish ICES 5-6-12-14,1993,695.455,28.44,27275.0
Golden redfish North-East Arctic,1993,0,31.23,29052.34
Goliath grouper Southern Atlantic coast and Gulf of Mexico,1993,0,30.25,28433.97
Gopher rockfish Southern Pacific Coast,1993,2.554.455,30.11,28350.47
Gray triggerfish Gulf of Mexico,1993,945.946,30.26,28358.8
Greater amberjack Gulf of Mexico,1993,250.722,28.62,27392.87
Greater amberjack Southern Atlantic coast,1993,1.257.732,31.42,29160.39
Greater silver smelt ICES 1-2-3a-4,1993,0,28.34,27215.2
Greater silver smelt ICES 5b-4a,1993,0,30.4,28538.15
Greater silver smelt ICES 6b-7-8-9-10-12,1993,0,29.41,27917.24
Greenland halibut Bering Sea and Aleutian Islands,1993,2.678.787,28.23,27102.88
Greenland halibut Gulf of St. Lawrence,1993,0,28.15,27037.88
Greenland halibut ICES 5-6-12-14,1993,845,30.05,28313.09
Greenland halibut Labrador Shelf - Grand Banks,1993,0,28.7,27377.4
Greenland halibut NAFO divisions 01ABCDEF,1993,0,29.03,27577.22
Greenland halibut North-East Arctic,1993,0,28.66,27365.24
Greenspotted rockfish Northern Pacific Coast,1993,661.194,31.29,29100.76
Greenspotted rockfish Southern Pacific Coast,1993,894.444,29.41,27805.28
Greenstriped rockfish Pacific Coast,1993,2.363.904,28.6,27342.57
Grey gurnard ICES 3a-4-7d,1993,0,30.97,28869.25
Grooved tiger prawn Northern Australia,1993,769.674,31.48,29154.19
Gulf menhaden Gulf of Mexico,1993,918.842,30.55,28558.46
Haddock Faroe Plateau,1993,770.477,29.25,27699.5
Haddock Georges Bank,1993,135.734,31.29,29089.36
Haddock Grand Banks,1993,0,31.74,29377.66
Haddock Gulf of Maine,1993,143.197,30.43,28552.82
Haddock ICES 3a-4-6a,1993,893.939,28.66,27359.67
Haddock ICES 7b-k,1993,748,30.24,28417.62
Haddock Iceland Grounds,1993,1.577.778,30.75,28777.9
Haddock Irish Sea,1993,788.043,30.99,28905.14
Haddock North-East Arctic,1993,1.65,30.79,28794.78
Haddock Rockall Bank,1993,1.872.549,28.56,27294.36
"Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine",1993,425,28.64,27389.93
Hake ICES 3a-4-6-7-8abd,1993,0.86,31.05,28969.65
Hake ICES 8c-9a,1993,1.153.153,31.76,29383.51
Herring Gulf of Riga East of Gotland,1993,2.016.667,30.74,28743.4
Herring ICES 1-2-4a-5-14a (Norwegian Spring Spawners),1993,0.67,31.56,29249.51
Herring ICES 22-24-3a,1993,1.853.333,28.84,27497.83
Herring ICES 3a-4-7d,1993,675.714,29.19,27721.52
Herring ICES 5a-7bc,1993,1.243.902,31.36,29149.78
Herring ICES 7a-g-h-j,1993,1.259.016,30.41,28530.79
Herring Iceland (Summer spawners),1993,1.553.114,29.73,28118.52
Herring Irish Sea,1993,853.689,30.0,28234.49
Herring NAFO division 4R (Fall spawners),1993,0,28.35,27185.69
Herring NAFO division 4R (Spring spawners),1993,0,29.48,27909.8
Herring Newfoundland East and South Coast,1993,0,28.02,27001.15
Herring Northwestern Atlantic Coast,1993,2.021.566,30.87,28854.95
Herring Quebec North Shore,1993,0,28.97,27571.34
Herring Scotian Shelf and Bay of Fundy,1993,0,31.07,28949.5
Herring Southern Gulf of St. Lawrence (Fall spawners),1993,0,30.23,28450.61
Herring Southern Gulf of St. Lawrence (Spring spawners),1993,0,30.81,28822.7
Herring Subdivisions 25-29 and 32,1993,1.261.667,29.97,28174.11
Herring Subdivisions 30-31,1993,1.546.719,30.7,28654.45
Herring West of Scotland,1993,1.346.667,31.13,28986.37
Hoki Eastern New Zealand,1993,2.042.235,29.63,27966.79
Hoki Western New Zealand,1993,1.404.117,29.15,27696.52
Horse mackerel ICES 2a-4a-5b-6a-7-8,1993,3.718.785,29.94,28193.54
Horse mackerel ICES 3a-4bc-7d,1993,0,29.81,28107.2
Horse mackerel Portugese Waters -East,1993,1.651.934,29.37,27867.81
Horse mackerel West Africa,1993,0,31.37,29157.16
Horsehead tilefish East China Sea,1993,0,30.63,28684.52
Indo Pacific blue marlin Indian Ocean,1993,1.58,31.35,29143.81
Jackass morwong Eastern half of Southeast Australia,1993,2.305.482,30.08,28324.52
Jackass morwong Western half of Southeast Australia,1993,1.785.088,28.59,27361.74
Japanese Spanish mackerel East China Sea,1993,0,29.67,28034.83
Japanese Spanish mackerel Inland Sea of Japan,1993,147.244,30.86,28801.76
Japanese amberjack Japan,1993,0,30.71,28700.17
Japanese anchovy Inland Sea of Japan,1993,741.238,29.65,28079.32
Japanese anchovy Pacific Coast of Japan,1993,75.506,30.97,28892.53
Japanese anchovy Tsushima Strait,1993,362.905,31.33,29120.1
Japanese flounder East China Sea,1993,289.463,30.88,28834.31
Japanese flounder Inland Sea of Japan,1993,0,29.43,27845.33
Japanese flounder Pacific Ocean,1993,0,28.01,26976.36
Japanese flounder Sea of Japan North,1993,0,30.46,28597.55
Japanese flying squid Japan Autumn recruitment,1993,1.448.002,29.08,27618.52
Japanese flying squid Japan Winter recruitment,1993,2.370.562,28.72,27408.29
Japanese jack mackerel Pacific Coast of Japan,1993,332.762,30.5,28549.73
Japanese jack mackerel Tsushima Strait,1993,705.344,28.86,27481.71
Japanese pufferfish Ise and Mikawa Bay,1993,181.349,30.51,28625.97
Japanese sardine Pacific Coast of Japan,1993,1.573.466,29.2,27754.54
Japanese sardine Tsushima Strait,1993,132.726,28.38,27234.92
Japanese snapper Okinawa Islands,1993,0,31.06,28938.93
Kamchatka flounder Bering Sea and Aleutian Islands,1993,650.862,30.95,28892.55
Kelp greenling Oregon Coast,1993,2.172.544,29.75,28058.32
Kichiji rockfish North Pacific,1993,0,29.62,27991.21
Kichiji rockfish Okhotsk Sea,1993,0,29.81,28119.71
Kichiji rockfish Southwestern coast of Hokkaido,1993,0,29.67,28007.38
King mackerel Gulf of Mexico,1993,1.073.983,28.53,27278.71
King mackerel Southern Atlantic coast,1993,1.921.269,29.29,27793.01
Kingklip South Africa,1993,0,30.85,28817.8
Kitefin shark Northeast Atlantic,1993,0,29.99,28216.39
Largehead hairtail Sea of Japan and East China Sea,1993,0,30.39,28547.31
Lavender jobfish Okinawa Islands,1993,0,29.09,27616.24
Leafscale gulper shark Northeast Atlantic,1993,0,29.83,28138.76
Lemon sole ICES 3a-4-7d,1993,0,28.43,27222.18
Lesser spotted dogfish ICES 3a-4-7d,1993,0,30.58,28631.7
Ling Faroe Grounds,1993,0,30.83,28767.93
Ling Iceland Grounds,1993,102.719,30.44,28507.43
Ling New Zealand Areas LIN 3 and 4,1993,1.799.016,28.92,27518.9
Ling New Zealand Areas LIN 5 and 6,1993,2.212.764,30.06,28269.35
Ling New Zealand Areas LIN 6b,1993,345.045,30.4,28516.76
Ling New Zealand Areas LIN 72,1993,1.815.755,28.69,27397.23
Ling New Zealand Areas LIN 7WC-WCSI,1993,2.118.502,29.68,28022.01
Ling North-East Arctic,1993,0,30.76,28772.71
Ling Northeast Atlantic,1993,0,30.8,28820.21
Ling Southeast Australia,1993,1.323.515,29.66,28040.13
Ling Western half of Southeast Australia,1993,1.622.471,29.61,28048.17
Lingcod Northern Pacific Coast,1993,0.3,29.86,28202.16
Lingcod Southern Pacific Coast,1993,256.148,31.56,29226.75
Lingcod Strait of Georgia,1993,186.825,31.37,29128.71
Little skate Gulf of Maine / Cape Hatteras,1993,0,28.36,27166.58
Longfin codling Pacific Ocean,1993,0,29.87,28151.8
Longfin inshore squid Atlantic Coast,1993,834.807,30.85,28849.4
Longnose skate Hecate Strait,1993,0,31.0,28898.46
Longnose skate Pacific Coast,1993,1.961.158,30.05,28278.5
Longnose skate Queen Charlotte Sound,1993,0,28.65,27380.16
Longnose skate West Coast of Vancouver Island,1993,0,30.07,28308.8
Longspine thornyhead Pacific Coast,1993,1.718.411,30.71,28741.49
Mackerel ICES Northeast Atlantic,1993,988.327,28.84,27454.42
Mackerel Northwest Atlantic (NAFO Subareas 3 and 4),1993,0,30.72,28734.41
Megrim ICES 7-8abd,1993,1.296.651,28.46,27280.8
Megrim ICES 8c-9a,1993,1.428.571,30.11,28342.9
Megrim spp ICES 4a-6a,1993,01.06,30.05,28309.84
Megrim spp Rockall Bank,1993,0,29.79,28163.45
Monkfish Gulf of Maine / Northern Georges Bank,1993,981.031,29.24,27769.49
Monkfish NAFO Divisions 3LNOPs,1993,0,29.82,28202.2
Monkfish Southern Georges Bank / Mid-Atlantic,1993,159.069,30.64,28710.46
Mutton snapper Southern Atlantic coast and Gulf of Mexico,1993,715.979,31.41,29187.64
New Zealand snapper New Zealand Area 8 (Auckland and Central West),1993,446.123,28.78,27423.24
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1993,356.795,29.16,27677.84
New Zealand snapper New Zealand SNA 1 east Northland,1993,507.525,29.75,28055.69
New Zealand snapper New Zealand SNA 7,1993,172.614,29.89,28138.25
Northern rock sole Eastern Bering Sea and Aleutian Islands,1993,1.272.374,28.22,27101.23
Northern rock sole Gulf of Alaska,1993,2.486.188,29.42,27913.79
Northern rockfish Bering Sea and Aleutian Islands,1993,1.869.547,30.57,28634.51
Northern rockfish Gulf of Alaska,1993,2.405.554,30.74,28731.3
Northern shortfin squid Northwestern Atlantic Coast,1993,0,29.86,28191.15
Northern shrimp Eastern Scotian Shelf (SFA 13-15),1993,0,28.8,27447.61
Northern shrimp Gulf of Maine,1993,0,29.34,27753.3
Northern shrimp Gulf of St. Lawrence,1993,0,28.1,27031.87
Northern shrimp ICES 3a(west)-4a(east),1993,1.535.354,30.14,28348.96
Northern shrimp North-East Arctic,1993,1.46,30.92,28829.83
Northern shrimp Northern North Sea,1993,0,30.63,28679.01
Northern shrimp Shrimp Fishing Area 4,1993,0,29.77,28085.56
Northern shrimp Shrimp Fishing Area 5,1993,0,30.2,28357.05
Northern shrimp Shrimp Fishing Area 6,1993,0,31.05,28964.06
Northern shrimp Shrimp Fishing Areas 2-3,1993,0,28.92,27566.44
"Norway lobster Adriatic Sea (GSA 17,18)",1993,1.416.208,30.75,28758.68
Norway lobster Aran Grounds (FU 17),1993,0,30.63,28708.27
Norway lobster Balearic Island,1993,0,28.2,27068.89
Norway lobster Botney Cut - Silver Pit (FU 5),1993,0,30.07,28284.34
Norway lobster Cantabrian Sea (FU 31),1993,0,30.15,28347.15
Norway lobster Farn Deeps (FU 6),1993,0,30.44,28510.73
Norway lobster Firth of Clyde and Sound of Jura (FU 13),1993,0,28.99,27572.96
Norway lobster Firth of Forth (FU 8),1993,0,30.48,28600.12
Norway lobster Fladen Ground (FU 7),1993,1.606.498,29.3,27822.16
Norway lobster ICES 7,1993,0,29.05,27597.66
Norway lobster ICES 8ab,1993,0,29.5,27911.82
Norway lobster Irish Sea West (FU 15),1993,0,29.11,27666.08
Norway lobster Moray Firth (FU 9),1993,0,30.62,28656.59
Norway lobster North Galicia (FU 25),1993,0,30.25,28443.94
Norway lobster North Minch (FU 11),1993,0,27.95,26970.96
Norway lobster Norwegian Deeps (FU 32),1993,0,31.06,28922.37
Norway lobster Off Horn Reef (FU 33),1993,0,30.72,28714.96
Norway lobster Porcupine Bank (FU 16),1993,0,30.06,28295.09
Norway lobster Skagerak Kattegat (FU 3-4),1993,0,28.27,27126.73
Norway lobster South Minch (FU 12),1993,0,28.31,27132.73
Norway lobster South-West and South Portugal (FU 28-29),1993,0,28.23,27133.9
Norway lobster West Galicia and North Portugal (FU 26-27),1993,0,29.93,28199.79
Norway lobster West of Scotland,1993,0,30.13,28407.83
Norway pout ICES 3a-4,1993,1.861.538,30.87,28830.19
Norway pout West of Scotland,1993,0,29.5,27945.27
Nylon shrimp Central-Southern Chile,1993,486.064,29.23,27744.43
Nylon shrimp Northern Chile,1993,955.258,29.88,28211.72
Ocean pout Northwestern Atlantic Coast,1993,0,31.0,28868.25
Ocean quahog Atlantic Coast,1993,2.248.555,31.3,29109.83
Ocean shrimp Shrimp Management Area 14,1993,0,28.21,27084.16
Ocean shrimp Shrimp Management Area FR,1993,0,29.89,28185.14
Ocean shrimp Shrimp Management Area GTSE,1993,0,31.95,29497.33
Ocean shrimp Shrimp Management Area PRD,1993,0,30.26,28456.51
Ocean shrimp Shrimp Management Areas 18 and 19,1993,0,28.76,27463.82
Octopus West Africa,1993,0,30.77,28803.28
Orange roughy Cascade Plateau,1993,0,29.9,28207.4
Orange roughy East and South Chatham Rise,1993,754.464,30.99,28866.4
Orange roughy New Zealand Challenger Plateau,1993,297.403,30.13,28360.51
Orange roughy New Zealand Mid East Coast,1993,631.579,30.51,28605.24
Orange roughy Northeast Atlantic,1993,0,30.77,28757.04
Orange roughy Northwest Chatham Rise,1993,91.342,29.66,28030.96
Orange roughy Southeast Australia,1993,526.034,31.24,29050.68
Pacific bluefin tuna Pacific Ocean,1993,557,29.3,27760.61
Pacific chub mackerel Pacific Coast,1993,899.009,29.6,27975.12
Pacific cod Aleutian Islands,1993,0,28.49,27253.15
Pacific cod Bering Sea,1993,1.195.035,29.3,27754.65
Pacific cod Gulf of Alaska,1993,2.267.135,29.73,28096.3
Pacific cod Hecate Strait,1993,581.576,29.46,27921.77
Pacific cod Hokkaido,1993,0,30.7,28736.01
Pacific cod North Pacific,1993,0,29.64,27972.95
Pacific cod Queen Charlotte Sound,1993,0,28.43,27231.37
Pacific cod Sea of Japan,1993,0,28.8,27474.58
Pacific cod West Coast of Vancouver Island,1993,670.034,30.53,28604.14
Pacific geoduck Washington,1993,0,28.87,27500.09
Pacific hake Pacific Coast,1993,168.926,28.4,27197.89
Pacific halibut North Pacific,1993,0,29.06,27612.1
Pacific herring Central Coast,1993,0,29.95,28237.2
Pacific herring Hokkaido,1993,0,31.59,29275.96
Pacific herring Prince Rupert District,1993,0,29.99,28236.58
Pacific herring Prince William Sound,1993,0,30.83,28770.44
Pacific herring Queen Charlotte Islands,1993,0,28.12,27025.77
Pacific herring Sitka,1993,0,30.9,28855.32
Pacific herring Strait of Georgia,1993,0,28.25,27148.08
Pacific herring Togiak District,1993,0,29.55,27908.92
Pacific herring West Coast of Vancouver Island,1993,0,32.23,29664.7
Pacific ocean perch Eastern Bering Sea and Aleutian Islands,1993,1.013.151,30.2,28393.96
Pacific ocean perch Gulf of Alaska,1993,516.698,29.97,28220.17
Pacific ocean perch Haida Gwaii,1993,1.396.495,30.1,28316.53
Pacific ocean perch Pacific Coast,1993,383.984,29.0,27627.46
Pacific ocean perch West Coast of Vancouver Island,1993,1.036.323,31.3,29076.17
Pacific sand lance Souya Strait,1993,0,28.94,27553.99
Pacific sandlance Ise and Mikawa Bay,1993,0,29.23,27810.03
Pacific saury Northwest Pacific,1993,0,28.3,27144.12
Patagonian grenadier Central-Southern Chile,1993,1.218.884,29.18,27753.46
Patagonian grenadier Southern Argentina,1993,1.044.627,29.85,28148.77
Patagonian toothfish Macquarie Island,1993,4.070.336,29.57,27962.65
Patagonian toothfish South Africa Subantarctic Prince Edward Islands,1993,0,31.59,29270.79
Patagonian toothfish South Chile Argentina,1993,1.96,30.91,28796.05
Paua NZ Area North PAUA 5A,1993,1.446.731,29.36,27762.52
Paua NZ Area South PAUA 5A,1993,1.294.352,28.9,27553.57
Paua New Zealand Area PAU 5B (Stewart Island),1993,898.693,29.12,27646.61
Paua New Zealand Area PAU 5D (Otago),1993,911.379,30.11,28300.14
Paua New Zealand Area PAU 7 (Marlborough),1993,704.964,29.87,28182.79
Peruvian anchoveta Central Chile,1993,1.935.294,29.25,27745.47
Peruvian anchoveta Central-Southern Chile,1993,1.234.875,29.75,28072.28
Peruvian anchoveta North-Central Peruvian coast,1993,51.952,28.41,27210.14
Peruvian anchoveta Northern Chile Southern Peru,1993,1.237.011,31.4,29143.42
Petrale sole Pacific Coast,1993,199.546,30.27,28427.85
Pink cusk eel Central-Southern Chile,1993,608.649,30.99,28921.44
Pink cusk eel Southern Argentina,1993,2.021.241,27.79,26819.12
Pink cusk eel Southern Chile,1993,99.726,30.81,28753.87
Pink salmon AK Pen Northwestern District,1993,0,30.15,28349.8
Pink salmon AK Pen Southeastern and South-central Districts,1993,0,28.63,27338.96
Pink salmon AK Pen Southwestern and Unimak Districts,1993,0,30.86,28854.95
Pink salmon Affleck Cl (District105),1993,0,31.01,28898.28
Pink salmon Afognak District,1993,0,29.35,27857.25
Pink salmon Aialik Lagoon (Eastern D),1993,0,30.21,28470.0
Pink salmon Alitak District,1993,0,29.78,28129.92
Pink salmon Amakdedori Creek (Kamishak D),1993,0,30.94,28871.07
Pink salmon Amur pink wild,1993,0,28.94,27536.56
Pink salmon Anadyr pink wild,1993,0,29.45,27884.28
Pink salmon Anan (District107),1993,0,29.12,27672.44
Pink salmon Area 1,1993,0,29.17,27693.93
Pink salmon Area 10,1993,0,30.13,28245.04
Pink salmon Area 12,1993,0,30.57,28626.99
Pink salmon Area 13,1993,0,29.86,28173.4
Pink salmon Area 2E,1993,0,31.08,28977.98
Pink salmon Area 2W,1993,0,30.42,28542.32
Pink salmon Area 3,1993,0,30.96,28892.19
Pink salmon Area 4,1993,0,30.39,28546.99
Pink salmon Area 5,1993,0,29.95,28194.05
Pink salmon Area 6,1993,0,31.14,29003.74
Pink salmon Area 7,1993,0,29.97,28259.44
Pink salmon Area 8,1993,0,29.64,27981.81
Pink salmon Area 9,1993,0,29.39,27909.17
Pink salmon Atnarko (Area 8),1993,0,29.98,28168.24
Pink salmon Auke Creek (Northern Inside),1993,0,29.86,28098.69
Pink salmon Barabara (Southern D),1993,0,29.75,28032.42
Pink salmon Baranof E (District109),1993,0,30.36,28512.27
Pink salmon BetwLoandBte (Area 13),1993,0,28.77,27426.55
Pink salmon BondSound (Area 12),1993,0,29.89,28203.47
Pink salmon Bruin River,1993,0,31.0,28902.87
Pink salmon Burnett (District106),1993,0,31.34,29146.52
Pink salmon Burrard,1993,0,31.1,29002.03
Pink salmon Bute Inlt (Area 13),1993,0,28.54,27298.9
Pink salmon Chignik Bay District,1993,0,30.01,28256.94
Pink salmon Chignik Central District,1993,0,30.76,28659.91
Pink salmon Chignik Eastern District,1993,0,31.45,29179.25
Pink salmon Chignik Western District,1993,0,30.46,28555.16
Pink salmon China Poot (Southern D),1993,0,29.51,27930.88
Pink salmon Coghill District,1993,0,29.85,28131.39
Pink salmon Dogfish (Southern D),1993,0,29.17,27720.15
Pink salmon Dosewallips (Hood Canal),1993,0,29.72,28074.81
Pink salmon Duckabush (Hood Canal),1993,0,28.8,27521.48
Pink salmon Dungeness (Juan de Fuca),1993,0,28.93,27533.66
Pink salmon EBehm (District 101),1993,0,30.75,28747.71
Pink salmon EDall (District103),1993,0,29.11,27678.47
Pink salmon East Kamchatka pink wild,1993,0,31.04,28929.86
Pink salmon East Sakhalin pink hatchery,1993,0,30.09,28307.74
Pink salmon East Sakhalin pink wild,1993,0,29.68,28059.76
Pink salmon Eastside-Northend District,1993,0,29.97,28204.92
Pink salmon Eliza Hbr (District109),1993,0,31.06,28967.61
Pink salmon Eshamy District,1993,0,29.15,27720.7
Pink salmon Farragut (District110),1993,0,30.05,28348.44
Pink salmon Freshw By (District112),1993,0,30.36,28448.61
Pink salmon GeorgiaHowe (Area 16),1993,0,29.98,28234.43
Pink salmon Golovin,1993,0,28.89,27510.29
Pink salmon Hamma Hamma (Hood Canal),1993,0,29.64,28014.56
Pink salmon Hetta (District103),1993,0,31.22,29027.15
Pink salmon Homeshor (District114),1993,0,30.69,28711.87
Pink salmon Hoonah S (District113),1993,0,29.44,27830.66
Pink salmon Houghton (District110),1993,0,31.14,29008.85
Pink salmon Humpy Creek (Cook Inlet Southern D),1993,0,28.54,27368.09
Pink salmon Humpy Creek (Yakutat),1993,0,31.73,29361.92
Pink salmon James Lagoon (Outer D),1993,0,29.13,27664.55
Pink salmon Japan High Seas catch pink hatchery,1993,0,30.93,28888.85
Pink salmon Japan High Seas catch pink wild,1993,0,31.09,28990.84
Pink salmon Japan coastal pink hatchery,1993,0,28.49,27253.88
Pink salmon Japan coastal pink wild,1993,0,30.43,28581.97
Pink salmon Jervis Inlet (Area 16),1993,0,31.02,28904.7
Pink salmon Kasaan (District102),1993,0,30.62,28679.16
Pink salmon Kelp By (District112),1993,0,28.89,27539.66
Pink salmon KingcomeInlet (Area 12),1993,0,31.59,29168.64
Pink salmon Klawock (District103),1993,0,30.47,28605.13
Pink salmon KnightInlet (Area 12),1993,0,29.2,27720.85
Pink salmon Kodiak Mainland District,1993,0,28.09,27056.14
Pink salmon Kodiak Westside District,1993,0,29.15,27645.81
Pink salmon Kuskokwim,1993,0,29.39,27853.67
Pink salmon Lisianski (District113),1993,0,28.8,27426.75
Pink salmon Loughb It (Area 13),1993,0,30.32,28495.74
Pink salmon Lynn Cnl (District112),1993,0,30.27,28486.06
Pink salmon Lynn Cnl (District115),1993,0,28.26,27118.78
Pink salmon Malaspina (Area 15),1993,0,31.46,29183.87
Pink salmon Moira (District102),1993,0,29.61,27971.78
Pink salmon Montague District,1993,0,30.26,28483.38
Pink salmon Moses Point and Norton Bay (Norton Sound),1993,0,27.19,26458.44
Pink salmon Nchichago (District114),1993,0,31.05,28963.76
Pink salmon NearKingcome (Area 12),1993,0,31.51,29221.86
Pink salmon Nisqually (Puget Sound),1993,0,29.18,27729.45
Pink salmon Nome (Norton Sound),1993,0,29.94,28179.4
Pink salmon Nooksack (Puget Sound),1993,0,30.27,28429.79
Pink salmon Northern/Unakwik District,1993,0,30.78,28713.81
Pink salmon Okhotsk pink hatchery,1993,0,28.28,27130.23
Pink salmon Okhotsk pink wild,1993,0,31.03,28942.82
Pink salmon PWS Eastern District,1993,0,30.38,28530.75
Pink salmon PWS Northwestern District,1993,0,30.04,28248.69
Pink salmon PWS Southeastern District,1993,0,30.52,28581.42
Pink salmon PWS Southwest District,1993,0,30.1,28375.2
Pink salmon Perryville District,1993,0,30.88,28819.09
Pink salmon Port Chatham (Outer D),1993,0,29.34,27860.17
Pink salmon Port Dick (Outer D),1993,0,29.8,28150.31
Pink salmon Port Graham (Southern D),1993,0,30.08,28280.6
Pink salmon Portage B (District110),1993,0,28.61,27370.08
Pink salmon Portland (District 101),1993,0,29.16,27705.9
Pink salmon Portlock (District113),1993,0,30.76,28732.85
Pink salmon Primorye pink wild,1993,0,30.47,28550.76
Pink salmon Puyallup (Puget Sound),1993,0,30.44,28537.2
Pink salmon Pybus/Ga (District110),1993,0,31.01,28902.29
Pink salmon Quatam R (Area 13),1993,0,31.75,29378.59
Pink salmon Ratz Hbr (District106),1993,0,30.11,28371.0
Pink salmon Resurrection Bay (Eastern D),1993,0,30.9,28839.21
Pink salmon Rocky River (Outer D),1993,0,29.12,27631.77
Pink salmon SE Baran (District109),1993,0,30.23,28379.2
Pink salmon SWAdmir (District112),1993,0,28.45,27227.32
Pink salmon Saginw By (District109),1993,0,29.9,28193.93
Pink salmon Salisbury (District113),1993,0,30.1,28290.36
Pink salmon SeaOtter (District103),1993,0,31.13,28999.62
Pink salmon Sechelt It  (Area 16),1993,0,30.44,28510.92
Pink salmon Seldovia Bay  (Southern D),1993,0,29.47,27894.79
Pink salmon Seymour (District111),1993,0,28.52,27282.07
Pink salmon Shipley (District105),1993,0,27.91,26916.94
Pink salmon Sitka Sd (District113),1993,0,30.53,28613.89
Pink salmon Skagit (Puget Sound),1993,0,27.88,26881.32
Pink salmon Sliammon (Area 15),1993,0,28.95,27614.17
Pink salmon Slocum (District113),1993,0,29.78,28136.77
Pink salmon Snohomish (Puget Sound),1993,0,30.59,28622.65
Pink salmon South AK Peninsula w/o Chignik,1993,0,29.29,27785.86
